name,marketHashName,BUFF,C5,HALOSKINS,YOUPIN
P90（StatTrak™） | 盲点 (崭新出厂),StatTrak™ P90 | Blind Spot (Factory New),39310,22524,22524,49391
P250 | 狂野飞溅 (崭新出厂),P250 | Splash (Factory New),36081,22525,22525,51882
UMP-45 | 弥诺陶洛斯迷宫 (崭新出厂),UMP-45 | Minotaur's Labyrinth (Factory New),42120,22526,22526,46564
FN57 | 表面淬火 (略有磨损),Five-SeveN | Case Hardened (Minimal Wear),34717,22527,22527,45799
Tec-9 | 核子威慑 (战痕累累),Tec-9 | Nuclear Threat (Battle-Scarred),42019,22528,22528,53198
M4A4（StatTrak™） | 龙王 (久经沙场),StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested),38905,22529,22529,2254
AK-47 | 红色层压板 (略有磨损),AK-47 | Red Laminate (Minimal Wear),33957,22530,22530,5239
SG 553（StatTrak™） | 次时代 (久经沙场),StatTrak™ SG 553 | Cyrex (Field-Tested),39505,22531,22531,45982
AK-47（StatTrak™） | 精英之作 (崭新出厂),StatTrak™ AK-47 | Elite Build (Factory New),38176,22532,22532,2307
AWP | 电子蜂巢 (崭新出厂),AWP | Electric Hive (Factory New),34078,22533,22533,400
M4A4（StatTrak™） | 杀意大名 (略有磨损),StatTrak™ M4A4 | Evil Daimyo (Minimal Wear),38869,22534,22534,44606
M4A4（StatTrak™） | 狮鹫 (略有磨损),StatTrak™ M4A4 | Griffin (Minimal Wear),38878,22535,22535,48119
M4A1 消音型（StatTrak™） | 血虎 (久经沙场),StatTrak™ M4A1-S | Blood Tiger (Field-Tested),38791,22536,22536,48469
AK-47 | 前线迷雾 (战痕累累),AK-47 | Frontside Misty (Battle-Scarred),33904,22537,22537,52003
AK-47 | 表面淬火 (略有磨损),AK-47 | Case Hardened (Minimal Wear),33883,22538,22538,43804
AWP（StatTrak™） | 蠕虫之神 (久经沙场),StatTrak™ AWP | Worm God (Field-Tested),38324,22539,22539,1654
M4A1 消音型（StatTrak™） | 澄澈之水 (久经沙场),StatTrak™ M4A1-S | Bright Water (Field-Tested),38797,22540,22540,51137
加利尔 AR（StatTrak™） | 橙黄 DDPAT (久经沙场),StatTrak™ Galil AR | Orange DDPAT (Field-Tested),38672,22541,22541,50512
M4A1 消音型（StatTrak™） | 翼蜥 (破损不堪),StatTrak™ M4A1-S | Basilisk (Well-Worn),38789,22542,22542,57232
M4A1 消音型（StatTrak™） | 黑水 (略有磨损),StatTrak™ M4A1-S | Dark Water (Minimal Wear),38808,22543,22543,48170
M4A1 消音型（StatTrak™） | 血虎 (崭新出厂),StatTrak™ M4A1-S | Blood Tiger (Factory New),38790,22544,22544,51136
AWP（StatTrak™） | 蠕虫之神 (略有磨损),StatTrak™ AWP | Worm God (Minimal Wear),38325,22545,22545,2269
M4A4 | 沙漠精英 (崭新出厂),M4A4 | Desert-Strike (Factory New),35276,22546,22546,44074
AWP | 粉红 DDPAT (略有磨损),AWP | Pink DDPAT (Minimal Wear),34119,22547,22547,44722
AWP | 红线 (略有磨损),AWP | Redline (Minimal Wear),34126,22548,22548,3795
AWP | 红线 (久经沙场),AWP | Redline (Field-Tested),34125,22549,22549,1537
P250 | 卡特尔 (崭新出厂),P250 | Cartel (Factory New),35998,22550,22550,2590
SSG 08（StatTrak™） | 无尽深海 (崭新出厂),StatTrak™ SSG 08 | Abyss (Factory New),39536,22551,22551,45371
M4A4 | 弹雨 (略有磨损),M4A4 | Bullet Rain (Minimal Wear),35258,22552,22552,2737
AWP | 二西莫夫 (战痕累累),AWP | Asiimov (Battle-Scarred),34065,22553,22553,270
AWP | 二西莫夫 (久经沙场),AWP | Asiimov (Field-Tested),34066,22554,22554,407
AWP | 暴怒野兽 (久经沙场),AWP | Hyper Beast (Field-Tested),34096,22555,22555,602
AWP | 暴怒野兽 (破损不堪),AWP | Hyper Beast (Well-Worn),34098,22556,22556,47115
M4A1 消音型 | 暴怒野兽 (久经沙场),M4A1-S | Hyper Beast (Field-Tested),35220,22557,22557,1539
P90 | 二西莫夫 (崭新出厂),P90 | Asiimov (Factory New),36114,22558,22558,44041
